Textbox22,Textbox23,Textbox99,Textbox103,grp_name,apt1_apt_name,airport_2_name2,total_pax_this_period2,total_pax_scheduled_this_period2,total_pax_charter_this_period2,total_pax_last_period2,total_pax_scheduled_last_period2,total_pax_charter_last_period2,total_pax_percent2,Textbox42,Textbox44,total_pax_scheduled_this_period,total_pax_charter_this_period,total_pax_last_period,total_pax_scheduled_last_period,total_pax_charter_last_period,total_pax_percent,Textbox12,Textbox13,Textbox14,Textbox16,Textbox17,Textbox18,Textbox20
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BELFAST INTERNATIONAL,- LIVERPOOL (JOHN LENNON),36890,36890,-,37965,37965,-,-3,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BELFAST INTERNATIONAL,- LUTON,23645,23645,-,24960,24960,-,-5,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BELFAST INTERNATIONAL,- MANCHESTER,37179,37179,-,19981,19981,-,86,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BELFAST INTERNATIONAL,- NEWCASTLE,19403,19403,-,19395,19395,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BELFAST INTERNATIONAL,- STANSTED,53072,53072,-,31131,31131,-,70,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BENBECULA,- EDINBURGH,-,-,-,2,2,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BENBECULA,- GLASGOW,1712,1712,-,1513,1513,-,13,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BENBECULA,- STORNOWAY,681,681,-,786,786,-,-13,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BIRMINGHAM,- ABERDEEN,8237,8237,-,7864,7864,-,5,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BIRMINGHAM,- BELFAST CITY (GEORGE BEST),19184,19184,-,16713,16713,-,15,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BIRMINGHAM,- BELFAST INTERNATIONAL,19499,19352,147,19568,19437,131,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BIRMINGHAM,- EDINBURGH,20587,20587,-,18266,18176,90,13,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BIRMINGHAM,- GLASGOW,16576,16576,-,16367,16241,126,1,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BIRMINGHAM,- GUERNSEY,3340,3340,-,2793,2793,-,20,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BIRMINGHAM,- INVERNESS,2273,2273,-,2335,2335,-,-3,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BIRMINGHAM,- ISLE OF MAN,2769,2769,-,2926,2926,-,-5,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BIRMINGHAM,- JERSEY,1910,1910,-,2608,2608,-,-27,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BIRMINGHAM,- NEWQUAY,295,295,-,110,110,-,168,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BOURNEMOUTH,- BIRMINGHAM,-,-,-,40,-,40,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BOURNEMOUTH,- LIVERPOOL (JOHN LENNON),98,-,98,82,-,82,20,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BOURNEMOUTH,- LUTON,-,-,-,32,-,32,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BOURNEMOUTH,- SOUTHEND,-,-,-,29,-,29,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- ABERDEEN,953,953,-,1079,1079,-,-12,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- BELFAST INTERNATIONAL,18754,18754,-,17937,17937,-,5,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- CARDIFF WALES,-,-,-,484,484,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- EDINBURGH,30282,30282,-,29481,29481,-,3,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- GLASGOW,23309,23309,-,23387,23317,70,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- GUERNSEY,969,969,-,1049,1049,-,-8,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- HAWARDEN,362,362,-,248,-,248,46,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- INVERNESS,5324,5324,-,5730,5730,-,-7,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- ISLE OF MAN,1469,1469,-,1270,1270,-,16,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- JERSEY,1516,1516,-,1252,1252,-,21,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- MANCHESTER,60,-,60,138,-,138,-57,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,BRISTOL,- NEWCASTLE,13935,13935,-,13658,13599,59,2,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CAMBRIDGE,- MANCHESTER,-,-,-,4,4,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CAMPBELTOWN,- GLASGOW,498,498,-,538,538,-,-7,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CAMPBELTOWN,- TIREE,7,7,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- ABERDEEN,-,-,-,59,59,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- ANGLESEY (VALLEY),985,985,-,889,889,-,11,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- BELFAST CITY (GEORGE BEST),5162,5162,-,5041,5041,-,2,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- BIGGIN HILL,56,-,56,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- BLACKPOOL,37,-,37,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- DONCASTER SHEFFIELD,-,-,-,53,-,53,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- EAST MIDLANDS INTERNATIONAL,-,-,-,78,-,78,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- EDINBURGH,6017,6017,-,6907,6862,45,-13,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- GLASGOW,2314,2314,-,2242,2242,-,3,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- JERSEY,669,669,-,776,776,-,-14,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- LEEDS BRADFORD,82,-,82,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- LIVERPOOL (JOHN LENNON),38,-,38,87,-,87,-56,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- LUTON,-,-,-,68,-,68,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- MANCHESTER,-,-,-,53,-,53,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- NEWCASTLE,559,472,87,1298,1126,172,-57,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CARDIFF WALES,- STANSTED,76,-,76,157,-,157,-52,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CITY OF DERRY (EGLINTON),- EDINBURGH,5285,5285,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CITY OF DERRY (EGLINTON),- GLASGOW,740,740,-,5848,5847,1,-87,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CITY OF DERRY (EGLINTON),- LIVERPOOL (JOHN LENNON),4951,4951,-,5065,5065,-,-2,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,CITY OF DERRY (EGLINTON),- STANSTED,3194,3194,-,3650,3650,-,-12,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DONCASTER SHEFFIELD,- BELFAST CITY (GEORGE BEST),2164,2164,-,59,59,-,3568,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DONCASTER SHEFFIELD,- CARDIFF WALES,-,-,-,57,-,57,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DONCASTER SHEFFIELD,- FARNBOROUGH,-,-,-,32,-,32,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DONCASTER SHEFFIELD,- GATWICK,6,6,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DONCASTER SHEFFIELD,- HEATHROW,-,-,-,32,-,32,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DONCASTER SHEFFIELD,- INVERNESS,60,60,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DONCASTER SHEFFIELD,- JERSEY,245,245,-,95,95,-,158,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DUNDEE,- STANSTED,1426,1426,-,1430,1430,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DURHAM TEES VALLEY,- ABERDEEN,1533,1533,-,2714,2714,-,-44,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DURHAM TEES VALLEY,- BELFAST CITY (GEORGE BEST),35,35,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DURHAM TEES VALLEY,- FARNBOROUGH,-,-,-,31,31,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DURHAM TEES VALLEY,- GATWICK,-,-,-,120,-,120,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DURHAM TEES VALLEY,- HUMBERSIDE,14,14,-,69,69,-,-80,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,DURHAM TEES VALLEY,- NORWICH,-,-,-,18,18,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,- BELFAST CITY (GEORGE BEST),10466,10466,-,10209,10209,-,3,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,- BLACKPOOL,-,-,-,1,-,1,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,- EDINBURGH,6191,6191,-,5901,5901,-,5,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,- GATWICK,-,-,-,1,-,1,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,- GLASGOW,7278,7278,-,7123,7123,-,2,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,- GUERNSEY,695,695,-,649,649,-,7,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,- JERSEY,1305,1305,-,2100,2100,-,-38,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EAST MIDLANDS INTERNATIONAL,- NEWCASTLE,26,26,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- ABERDEEN,-,-,-,12,12,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- BELFAST CITY (GEORGE BEST),9799,9799,-,10345,10345,-,-5,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- BELFAST INTERNATIONAL,21588,21588,-,20961,20961,-,3,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- BENBECULA,-,-,-,287,287,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- BIRMINGHAM,20570,20570,-,18251,18161,90,13,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- BRISTOL,30588,30588,-,29545,29545,-,4,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- CARDIFF WALES,6017,6017,-,6905,6905,-,-13,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- CITY OF DERRY (EGLINTON),5286,5286,-,-,-,-,-,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- EAST MIDLANDS INTERNATIONAL,6196,6196,-,6047,6047,-,2,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- EXETER,2857,2857,-,2984,2984,-,-4,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- GATWICK,55481,55481,-,54508,54508,-,2,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- GLASGOW,-,-,-,143,143,-,-100,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- HEATHROW,75647,75647,-,89056,89056,-,-15,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
To and From Each Reporting Airport for January 2019,Comparison with January 2018,January 2019,January 2018,Other Reporting Airports,EDINBURGH,- ISLE OF MAN,322,322,-,248,248,-,30,Total Other Reporting Airports,2271089,2261512,9577,2213815,2196692,17123,3,3172313,3162537,9776,3085230,3067786,17444,3
